Route,Type,Time
38,Send,6/23/22 5:04 PM
3,Send,6/24/22 11:46 AM
32,Send,6/24/22 4:27 PM
35,Send,6/24/22 5:13 PM
38,Send,6/24/22 1:18 PM
13,Send,6/24/22 2:31 PM
3,Send,7/6/22 2:33 PM
32,Send,7/6/22 2:41 PM
13,Send,7/6/22 4:10 PM
35,Send,7/6/22 4:27 PM
23,Send,7/6/22 5:25 PM
38,Send,7/6/22 5:07 PM
3,Send,7/8/22 3:36 PM
35,Send,7/8/22 3:38 PM
38,Send,7/8/22 4:14 PM
13,Send,7/14/22 2:08 PM
3,Send,6/17/22 11:20 AM
23,Send,6/17/22 2:09 PM
35,Send,6/17/22 12:57 PM
35,Send,6/17/22 5:13 PM
13,Send,6/17/22 2:29 PM
38,Send,6/17/22 3:25 PM
32,Send,6/17/22 3:33 PM
32,Send,6/16/22 1:09 PM
13,Send,6/17/22 5:07 AM
23,Send,6/16/22 3:52 PM
3,Send,6/28/22 2:46 PM
32,Send,6/28/22 2:47 PM
3,Send,6/28/22 2:47 PM
23,Send,6/28/22 4:54 PM
13,Send,6/28/22 2:18 PM
35,Send,6/28/22 5:20 PM
38,Send,6/28/22 6:05 PM
13,Send,6/29/22 1:13 PM
3,Send,6/29/22 1:44 PM
32,Send,6/29/22 2:31 PM
23,Send,6/29/22 4:12 PM
35,Send,6/29/22 4:40 PM
38,Send,6/29/22 5:37 PM
32,Send,7/5/22 12:12 PM
13,Send,7/5/22 3:16 PM
35,Send,7/5/22 4:20 PM
3,Send,7/5/22 4:51 PM
38,Send,7/5/22 2:58 PM
38,Send,7/5/22 2:58 PM
38,Send,7/5/22 2:59 PM
13,Send,10/6/22 1:36 PM
13,Send,10/6/22 1:36 PM
38,Send,10/6/22 1:44 PM
23,Send,10/6/22 1:55 PM
3,Send,10/6/22 2:33 PM
35,Send,10/6/22 2:49 PM
32,Send,10/6/22 4:05 PM
23,Send,10/5/22 3:00 PM
35,Send,10/5/22 4:32 PM
13,Send,11/15/22 1:16 PM
13,Send,11/15/22 1:26 PM
3,Send,11/15/22 2:43 PM
32,Send,11/15/22 2:51 PM
38,Send,11/15/22 3:30 PM
23,Send,11/15/22 3:33 PM
3,Send,11/16/22 4:19 AM
35,Send,11/15/22 4:10 PM
23,Send,11/7/22 1:46 PM
32,Send,11/7/22 3:20 PM
13,Send,11/8/22 1:41 PM
13,Send,11/8/22 2:16 PM
13,Send,11/8/22 2:17 PM
