Route,Type,Time
6,Send,11/22/22 1:45 PM
51,Send,11/22/22 2:23 PM
47,Send,11/22/22 4:18 PM
47,Send,11/28/22 3:23 PM
52,Send,11/29/22 12:25 PM
51,Send,11/29/22 3:38 PM
56,Send,11/29/22 3:48 PM
12,Send,11/29/22 3:49 PM
50,Send,11/30/22 6:25 AM
50,Send,11/29/22 12:59 PM
8060,Send,11/29/22 1:02 PM
8010,Send,11/29/22 1:17 PM
8040,Send,11/29/22 1:19 PM
6,Send,11/29/22 2:37 PM
47,Send,11/29/22 4:42 PM
8040,Send,11/14/22 2:18 PM
8010,Send,11/14/22 2:52 PM
50,Send,11/14/22 3:22 PM
8010,Send,11/14/22 1:21 PM
56,Send,11/14/22 5:31 PM
50,Send,11/15/22 6:15 AM
6,Send,11/14/22 2:41 PM
12,Send,11/14/22 3:02 PM
12,Send,11/14/22 3:02 PM
47,Send,11/14/22 3:44 PM
8040,Send,7/25/22 1:33 PM
12,Send,7/25/22 3:43 PM
8010,Send,7/25/22 1:02 PM
6,Send,7/25/22 2:54 PM
56,Send,7/25/22 4:43 PM
47,Send,7/25/22 4:23 PM
51,Send,7/26/22 12:46 PM
8040,Send,7/26/22 12:57 PM
50,Send,7/26/22 1:00 PM
8060,Send,7/26/22 1:51 PM
56,Send,7/26/22 7:45 AM
47,Send,7/26/22 3:02 PM
50,Send,7/27/22 11:41 AM
8040,Send,7/27/22 3:37 PM
8040,Send,7/27/22 3:38 PM
8040,Send,7/27/22 3:38 PM
56,Send,7/27/22 3:55 PM
6,Send,7/27/22 4:47 PM
52,Send,7/28/22 11:13 AM
8010,Send,7/28/22 12:56 PM
8040,Send,7/28/22 12:37 PM
6,Send,7/28/22 2:19 PM
8060,Send,7/28/22 11:23 AM
50,Send,7/28/22 1:13 PM
47,Send,7/28/22 1:54 PM
51,Send,7/28/22 3:22 PM
52,Send,8/1/22 1:51 PM
12,Send,8/1/22 3:48 PM
50,Send,8/1/22 12:00 PM
8010,Send,8/1/22 12:04 PM
51,Send,8/1/22 12:21 PM
47,Send,8/1/22 2:55 PM
8040,Send,8/1/22 2:58 PM
56,Send,8/1/22 4:33 PM
6,Send,8/1/22 4:06 PM
52,Send,11/11/22 10:48 AM
51,Send,11/11/22 11:22 AM
8040,Send,11/11/22 11:42 AM
50,Send,11/11/22 11:44 AM
6,Send,11/11/22 1:05 PM
6,Send,11/11/22 1:06 PM
47,Send,11/11/22 1:56 PM
56,Send,11/11/22 2:48 PM
50,Send,11/14/22 1:43 PM
52,Send,7/26/22 12:23 PM
8010,Send,7/26/22 11:43 AM
6,Send,7/26/22 2:21 PM
12,Send,7/26/22 2:42 PM
56,Send,7/26/22 4:16 PM
51,Send,7/27/22 12:33 PM
8010,Send,7/27/22 1:20 PM
47,Send,7/27/22 3:00 PM
12,Send,7/27/22 3:17 PM
52,Send,7/27/22 11:57 AM
8040,Send,7/27/22 2:34 PM
8040,Send,7/27/22 2:34 PM
12,Send,7/28/22 4:12 PM
56,Send,7/28/22 4:18 PM
56,Send,7/28/22 4:18 PM
56,Send,7/28/22 4:18 PM
51,Send,7/29/22 9:29 AM
50,Send,7/29/22 12:39 PM
6,Send,7/29/22 1:27 PM
52,Send,7/29/22 11:14 AM
8040,Send,7/29/22 12:12 PM
8010,Send,7/29/22 12:53 PM
8010,Send,7/29/22 1:06 PM
12,Send,7/29/22 2:03 PM
47,Send,7/29/22 3:22 PM
56,Send,7/29/22 4:15 PM
56,Send,7/29/22 4:15 PM
12,Send,8/5/22 12:53 PM
8010,Send,8/5/22 12:55 PM
8040,Send,8/5/22 11:08 AM
6,Send,8/5/22 1:42 PM
