Route,Type,Time
12,Send,5/30/23 3:56 PM
47,Send,5/30/23 5:43 PM
52,Send,5/31/23 10:17 AM
8040,Send,5/31/23 11:05 AM
8010,Send,5/31/23 1:23 PM
50,Send,5/31/23 3:05 PM
6,Send,5/31/23 1:53 PM
12,Send,5/31/23 2:32 PM
56,Send,5/31/23 3:37 PM
51,Send,5/31/23 12:48 PM
12,Send,5/31/23 2:45 PM
12,Send,5/31/23 2:45 PM
47,Send,5/31/23 2:51 PM
8040,Send,6/1/23 10:20 AM
52,Send,6/1/23 11:33 AM
50,Send,6/1/23 11:39 AM
8010,Send,6/1/23 4:43 PM
12,Send,6/1/23 4:47 PM
51,Send,6/2/23 2:18 PM
12,Send,6/2/23 3:15 PM
6,Send,3/6/23 2:13 PM
8010,Send,3/6/23 3:28 PM
12,Send,3/6/23 3:32 PM
8040,Send,3/6/23 5:07 PM
50,Send,3/8/23 5:58 AM
51,Send,3/8/23 12:32 PM
51,Send,3/6/23 1:20 PM
51,Send,3/6/23 1:20 PM
50,Send,3/6/23 1:23 PM
47,Send,3/6/23 1:34 PM
51,Send,3/7/23 11:34 AM
52,Send,3/7/23 1:24 PM
8010,Send,3/7/23 1:26 PM
12,Send,3/7/23 2:04 PM
8040,Send,3/7/23 2:49 PM
6,Send,3/7/23 2:52 PM
50,Send,3/7/23 1:34 PM
50,Send,3/7/23 1:48 PM
8010,Send,3/8/23 5:39 PM
47,Send,3/7/23 2:11 PM
12,Send,3/9/23 3:56 PM
56,Send,3/9/23 5:12 PM
6,Send,3/9/23 2:12 PM
50,Send,3/9/23 2:13 PM
47,Send,3/9/23 4:36 PM
8010,Send,3/9/23 2:54 PM
47,Send,12/6/22 2:38 PM
52,Send,12/6/22 2:39 PM
50,Send,12/6/22 2:39 PM
8040,Send,12/6/22 3:41 PM
8010,Send,12/6/22 1:08 PM
6,Send,12/6/22 12:51 PM
51,Send,12/6/22 3:21 PM
12,Send,12/6/22 4:27 PM
56,Send,12/6/22 5:13 PM
50,Send,1/11/23 3:10 PM
51,Send,1/11/23 3:10 PM
52,Send,1/11/23 3:10 PM
8040,Send,1/11/23 3:12 PM
47,Send,1/11/23 3:13 PM
56,Send,1/11/23 3:22 PM
8010,Send,1/11/23 3:24 PM
6,Send,1/12/23 9:14 AM
51,Send,1/12/23 9:14 AM
12,Send,1/12/23 9:12 AM
52,Send,12/9/22 11:57 AM
50,Send,12/9/22 12:03 PM
8010,Send,12/9/22 12:12 PM
8010,Send,12/9/22 12:47 PM
6,Send,12/9/22 12:50 PM
12,Send,12/9/22 2:32 PM
47,Send,12/9/22 3:00 PM
51,Send,12/12/22 4:54 AM
8040,Send,12/9/22 2:17 PM
8040,Send,12/9/22 2:17 PM
56,Send,12/9/22 3:16 PM
8010,Send,12/12/22 1:18 PM
52,Send,12/12/22 1:20 PM
8010,Send,12/8/22 12:36 PM
8040,Send,12/8/22 1:35 PM
50,Send,12/8/22 2:06 PM
8010,Send,12/8/22 12:43 PM
52,Send,12/8/22 12:58 PM
56,Send,12/8/22 3:58 PM
51,Send,12/8/22 1:49 PM
6,Send,12/8/22 3:15 PM
6,Send,12/8/22 3:18 PM
6,Send,12/8/22 3:19 PM
56,Send,12/8/22 4:11 PM
12,Send,12/8/22 5:06 PM
47,Send,12/9/22 6:59 AM
50,Send,12/8/22 1:49 PM
50,Send,12/7/22 1:47 PM
51,Send,12/7/22 1:49 PM
8040,Send,12/7/22 1:56 PM
6,Send,12/7/22 2:05 PM
47,Send,12/7/22 3:59 PM
47,Send,2/2/23 3:09 PM
56,Send,2/2/23 4:45 PM
50,Send,2/2/23 5:42 PM
52,Send,2/3/23 10:39 AM
6,Send,2/3/23 1:34 PM
8010,Send,2/3/23 11:39 AM
51,Send,2/3/23 12:27 PM
8040,Send,2/3/23 12:57 PM
12,Send,2/3/23 2:12 PM
12,Send,2/3/23 2:12 PM
47,Send,2/3/23 4:34 PM
50,Send,2/3/23 4:58 PM
56,Send,2/3/23 3:12 PM
50,Send,2/6/23 6:13 AM
51,Send,5/17/23 5:40 AM
50,Send,5/17/23 5:58 AM
56,Send,5/16/23 3:50 PM
51,Send,5/17/23 12:56 PM
56,Send,5/17/23 1:22 PM
8040,Send,5/17/23 1:23 PM
8010,Send,5/17/23 2:59 PM
47,Send,5/17/23 3:19 PM
8010,Send,5/17/23 3:20 PM
50,Send,5/17/23 12:29 PM
52,Send,5/17/23 12:44 PM
50,Send,2/1/23 11:46 AM
47,Send,1/31/23 3:36 PM
12,Send,1/31/23 3:44 PM
56,Send,1/31/23 5:00 PM
52,Send,2/1/23 11:16 AM
8040,Send,2/1/23 12:56 PM
51,Send,2/1/23 2:11 PM
8010,Send,2/1/23 3:15 PM
50,Send,2/6/23 1:04 PM
51,Send,2/6/23 1:17 PM
8010,Send,2/6/23 1:52 PM
47,Send,2/6/23 2:25 PM
6,Send,2/6/23 3:01 PM
52,Send,2/6/23 11:42 AM
56,Send,2/6/23 3:42 PM
56,Send,2/6/23 3:44 PM
12,Send,2/6/23 3:47 PM
12,Send,2/6/23 3:48 PM
8040,Send,2/6/23 3:56 PM
56,Send,2/1/23 3:27 PM
47,Send,2/1/23 3:28 PM
12,Send,2/1/23 3:39 PM
6,Send,2/1/23 4:40 PM
52,Send,2/2/23 11:29 AM
8040,Send,2/2/23 11:33 AM
51,Send,2/2/23 1:13 PM
